review_id,analysis_name,k,scale,final_score,final_class,half_life_k,half_life_year,half_life_pct,volatility,n_flips,first_flip_k,year_span,stabilizes,early_stabilizer
CD000028,Cause of cardiovascular mortality,21,ratio,100.0,Robust,10,1989.0,47.6,5.56,1,10,14.0,Yes,No
CD000143,Extubation failure,12,ratio,25.0,Unstable,,,,19.44,6,4,7.0,No,No
CD000219,Pain,21,ratio,100.0,Robust,11,1991.0,52.4,8.33,3,11,33.0,Yes,No
CD000478,Failure to maintain remission - all trials,13,ratio,100.0,Robust,6,2000.0,46.2,10.0,2,6,23.0,Yes,No
CD000547,Individual adverse events,48,ratio,100.0,Robust,6,1994.0,12.5,0.83,1,6,13.0,Yes,No
CD001155,"Alendronate vs Other active agent, Secondary",59,ratio,25.0,Unstable,,,,0.45,0,,19.0,No,No
CD001321,Symptomatic UTI: culture-verified UTI,27,ratio,100.0,Robust,14,2013.0,51.9,14.58,9,10,16.0,Yes,No
CD001396,Response rates,30,ratio,100.0,Robust,4,1996.0,13.3,1.39,1,4,20.0,Yes,Yes
CD001431,Participation in decision-making - all studies,61,ratio,0.0,Unstable,,,,0.43,0,,25.0,No,No
CD001533,Adverse events,21,ratio,0.0,Unstable,,,,5.56,2,,26.0,No,No
CD001703,Non-specific low back pain and spine-related leg pain: withdrawals due to adverse events,21,ratio,100.0,Robust,7,2005.0,33.3,5.56,2,7,30.0,Yes,No
CD001797,Significant improvement in disability within 6 weeks,5,ratio,100.0,Robust,4,2001.0,80.0,25.0,1,4,12.0,Yes,Yes
CD001837,Quit at longest follow-up (6 + months),49,ratio,100.0,Robust,4,1993.0,8.2,1.09,1,4,30.0,Yes,Yes
CD001909,≥ 50% reduction in seizure frequency (intention-to-treat analysis),25,ratio,100.0,Robust,11,1993.0,44.0,9.09,4,7,21.0,Yes,No
CD002042,Participants exposed to blood transfusion by clinical specialties,53,ratio,100.0,Robust,4,1995.0,7.5,1.25,2,4,31.0,Yes,Yes
CD002112,Number of children achieving 14 consecutive dry nights by the end of treatment,21,ratio,100.0,Robust,11,2013.0,52.4,8.33,4,7,21.0,Yes,No
